出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位),用水密集度-單位,取得驗證,水資源管理或減量目標
1111005,110,2412,中華電,2170000.0000,中華電信母公司,10.3099,百萬營業額,取得ISO 50001證書、板橋IDC暨雲端資料中心取得ISO 14046水足跡認證。,"1.透過資訊化介面管理及分析，擬定具體管理目標。並據此目標來推動水資源節約措施，提升其使用效率，包括：
(1)洗手檯裝設噴霧式水龍頭。
(2)廁所改裝兩段式沖水設備。
(3)使用雨水及回收水進行公司綠化澆灌。
(4)推動新建築物中水設置，將生活污水匯集經過處理並達規定的水質標準後，在範圍內重複使用於非飲用及身體接觸用水。。
2.本公司用水主要為民生用水，除一般盥洗用水外，以冷卻空調用水為主要用量，隨業務成長與人員增加，用水量減少幅度有限，有效進行用水量之管控。建置雨水、地下水及空調冷凝水回收系統，達到水資源再利用。
3.水資源管理系統，並擬定適度的管理與節約措施，達到節約用水之目標。
4.中華電信以2020年用水量為基準，民生用水以節降2％為目標，而每年因業務成長所增加的用水量不得超過2％。"
1111005,110,2413,環科,17800.0000,母公司,,,ISO14001,無資料
1111005,110,2414,精技,4900.0000,僅母公司,0.2342,佰萬營業額,N,以109年為基準年，預計114年前用水度數減少5%為目標。
1111005,110,2415,錩新,419571.0000,110年度,,,N,"111年上半年先針對廠內所有地下管線，已改為明管，避免管線洩漏。
111年下半年才會開始針對高耗水量的製程進行減量。"
1111005,110,2417,圓剛,7440.0000,資料涵蓋範圍為總公司,0.0020,營業額,N,控制總用水量，須達成每年減少2 %的目標
1111005,110,2419,仲琦,47468.0000,新竹總部+海外據點(蘇州，越南),137.1200,營業額,N,每年用水減量1%
1111005,110,2420,新巨,18728.0000,母公司,7.0330,百萬營業額,N,新巨企業屬低汙染之電子資訊產業，水的消耗主要以員工生活用水或空調用水為主，不時宣導各廠區節水措施，換用省水水龍頭，設法降低人均用水量。
1111005,110,2421,建準,3305000.0000,昆山廠/北海廠/高雄廠,,,N,建準各生產廠區為符合客戶要求，廠區內均使用100%自來水水源且因製程因素而無工業廢水產出，僅有生活廢水排放，不會對環境造成水污染之不良影響，而生產廠區每年度也會定期安排第三方驗證公司檢測廠區之生活廢水排放結果，至今每年度排放生活廢水水質檢測結果均有符合環保排放要求。除了持續通過檢測標準外，也會持續接受當地政府相關法規的嚴格監督與管理，全面落實水資源之環保概念。
1111005,110,2423,固緯,11708.0000,母公司,,,N,確保用水的安全，每三個月委由合格的檢測單位進行飲水機的採樣，檢測，以確保用水安全。
1111005,110,2424,隴華,,,,,N,NA
1111005,110,2425,承啟,,,,,N,尚無目標
1111005,110,2427,三商電,1976.0000,母公司,6.3100,員工人數,N,日常辦公用水為主要的用水來源，並取自市政用水，對水源無顯著影響
1111005,110,2428,興勤,56870.0000,母公司金屬用水,0.0130,產品,N,110年度製程廢水回收率為37.5%，預計111年度成長1%以上。
1111005,110,2429,銘旺科,82.8820,母公司+子公司(嵩達),0.0860,百萬營收,N,不適用
1111005,110,2430,燦坤,,,,,N,本公司於營運中妥善利用水資源，於內部執行節約用水。
1111005,110,2431,聯昌,,,,,N,積極推動節能減碳、溫室氣體減量、減少用水與其他廢棄物管理計畫。
1111005,110,2433,互盛電,8435.0000,僅母公司,0.0060,營業額,N,減少水資源的使用量。
1111005,110,2434,統懋,162041.0000,母公司,1643.4178,百萬營業額,N,無資料
1111005,110,2436,偉詮電,0.8250,新竹廠區,0.0002,營業額單位為佰萬元,N,"皆為辦公室民生用水,宣導節約用水。"
1111005,110,2438,翔耀,,,,,N,無
1111005,110,2439,美律,350128.6000,母公司與部分合併財務報表之子公司,50.1600,員工人數,N,"【美律水資源管理政策】
珍惜用水，加強員工意識
促進對用水之重視與節約
【水資源管理策略】
● 以ISO 14001作為工廠水資源管理之基礎
● 工廠用水以生活用水為主，因此使用節水設備並加強員工意識為主
【水資源減量目標】
用水密度相較前一年減少2%"
1111005,110,2440,太空梭,,,,,N,公司位於【昌益科技產發園區】由園區統一處理，園區內部設置雨水回收系統供園區綠地澆灌、清洗道路與水溝，具有環保永續的綠色園區。整個園區無各別廠戶水錶，水費含在管理費用，持續宣導節約用水。
1111005,110,2441,超豐,1201102.0000,超豐電子股份有限公司營運範圍,,,N,"111年製程廢水回收量較110年增加3,000噸。"
1111005,110,2442,新美齊,2584.0000,110年新美齊新建工程建案,,,N,"1.馬桶使用兩段式省水設備，公共設施小便斗採用電子感應沖水設備，減少浴廁用水量，避免水資源浪費。
2.冷熱水管外覆保溫材，採用不鏽鋼披覆式管材，熱水供應時，確保水溫不變，並可減少熱能損耗。
3.工作陽台採用雨水、洗衣機排水管線分流設計，確保污水不會回流，影響其他樓層住戶，且大幅減輕污水處理設施的負擔。
4.將步道、廣場等人工鋪面局部設計成透水鋪面，是一種兼具防洪功能的生態透水設計，貯留的雨水亦可回收再利用作為灌溉用水。"
1111005,110,2443,昶虹,12.0000,母公司,,,N,無
1111005,110,2444,兆勁,26058.0000,僅母公司,0.0147,營業額,大腸桿菌群&LT; 1 CFU/ 100ml,無資料
1111005,110,2449,京元電子,3753632.0000,母子公司,5392.0000,營業額,N,2023年通過ISO46001管理系統
1111005,110,2450,神腦,8.6700,母公司新店總公司共11處辦公室,0.0200,人,按ISO 14064-1:2018進行溫室氣體盤查，並通過SGS-Taiwan查證,水資源管理請詳2021年永續報告書第六大項環境永續
1111005,110,2451,創見,27710.0000,僅母公司,1.9357,百萬營業額,N,1.本公司水資源使用皆為民生用水，產品製程過程中不需用水，故對在地用水無重大衝擊影響。2.本公司主要節水措施為水龍頭採用感應出水式龍頭，將出水量下調，以節約用水。
1111005,110,2453,凌群,9025.0000,母公司,1.6180,百萬營業額,N,營運過程中，除一般民生用水外不會產生額外廢水，水源來自自來水公司，汙水亦依規定排放，無水污染疑慮。111年公司將持續落實日常生活節約用水，以節省1%之用水量為目標。
