出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
1111005,110,3045,台灣大,1274,1094,1072,923,48.00%,5人,0.13%
1111005,110,3046,建碁,1294,1142,1111,1090,20.80%,0人,0.00%
1111005,110,3047,訊舟,1280,1091,999,888,20.00%,0人,0.00%
1111005,110,3048,益登,1644,1465,1345,1111,50.00%,0人,0.00%
1111005,110,3049,和鑫,1277,1053,942,824,22.22%,0人,0.00%
1111005,110,3050,鈺德,790,658,629,579,38.00%,0人,0.00%
1111005,110,3051,力特,750,620,576,526,3.00%,10人,1.65%
1111005,110,3052,夆典,972,827,668,626,13.00%,0人,0.00%
1111005,110,3054,立萬利,1175,1003,947,824,33.00%,0人,0.00%
1111005,110,3055,蔚華科,2488,2126,1288,1155,5.88%,0人,0.00%
1111005,110,3056,總太,1471,1309,1529,895,57.14%,0人,0.00%
1111005,110,3057,喬鼎,1406,1208,1181,1004,20.00%,0人,0.00%
1111005,110,3058,立德,1294,1098,873,688,12.50%,0人,0.00%
1111005,110,3059,華晶科,2063,1861,1261,1198,18.52%,1人,0.41%
1111005,110,3060,銘異,919,771,640,557,22.00%,0人,0.00%
1111005,110,3062,建漢,1303,1124,1047,952,3.95%,0人,0.00%
1111005,110,3090,日電貿,1002,836,864,717,55.88%,1人,0.68%
1111005,110,3092,鴻碩,1850,1637,986,713,26.19%,382人,16.99%
1111005,110,3094,聯傑,1460,1250,1143,1134,16.67%,0人,0.00%
1111005,110,3130,一零四,1393,1224,1188,1026,56.00%,0人,0.00%
1111005,110,3138,耀登,1656,1473,1228,946,36.00%,0人,0.00%
1111005,110,3149,正達,829,710,663,583,0.00%,0人,0.00%
1111005,110,3164,景岳,742,609,584,553,9.63%,0人,0.00%
1111005,110,3167,大量,1072,582,804,691,15.38%,2人,0.81%
1111005,110,3189,景碩,903,783,750,582,19.00%,30人,0.53%
