出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率
1111005,110,1101,台泥,15,5,4席,27.00%,96.19%,100.00%
1111005,110,1102,亞泥,14,3,0席,0.00%,97.00%,100.00%
1111005,110,1103,嘉泥,7,3,0席,0.00%,95.92%,100.00%
1111005,110,1104,環泥,7,3,0席,0.00%,100.00%,100.00%
1111005,110,1108,幸福,7,3,2席,28.57%,100.00%,100.00%
1111005,110,1109,信大,9,3,1席,11.11%,93.88%,22.22%
1111005,110,1110,東泥,10,3,1席,10.00%,97.50%,100.00%
1111005,110,1201,味全,9,3,0席,0.00%,95.60%,100.00%
1111005,110,1203,味王,15,3,1席,6.70%,74.40%,13.30%
1111005,110,1210,大成,10,3,0席,0.00%,96.67%,100.00%
1111005,110,1213,大飲,9,3,1席,11.00%,93.00%,11.00%
1111005,110,1215,卜蜂,8,3,0席,0.00%,87.50%,100.00%
1111005,110,1216,統一,13,3,3席,22.08%,98.90%,100.00%
1111005,110,1217,愛之味,9,3,0席,0.00%,85.48%,60.19%
1111005,110,1218,泰山,9,3,1席,11.11%,100.00%,44.44%
1111005,110,1219,福壽,9,3,3席,33.33%,94.44%,100.00%
1111005,110,1220,台榮,12,3,2席,16.67%,96.55%,8.33%
1111005,110,1225,福懋油,9,3,2席,22.22%,100.00%,100.00%
1111005,110,1227,佳格,7,3,1席,14.29%,80.00%,42.86%
1111005,110,1229,聯華,10,3,1席,10.00%,93.00%,100.00%
1111005,110,1231,聯華食,9,3,2席,22.20%,100.00%,100.00%
1111005,110,1232,大統益,11,3,0席,0.00%,97.00%,100.00%
1111005,110,1233,天仁,7,2,0席,0.00%,97.14%,100.00%
1111005,110,1234,黑松,14,3,3席,21.40%,92.00%,100.00%
1111005,110,1235,興泰,7,3,1席,14.29%,98.81%,57.14%
1111005,110,1236,宏亞,6,3,3席,50.00%,95.83%,100.00%
1111005,110,1256,鮮活果汁-KY,8,3,2席,25.00%,100.00%,100.00%
1111005,110,1301,台塑,15,4,2席,13.00%,91.43%,100.00%
1111005,110,1303,南亞,15,3,2席,13.00%,97.78%,100.00%
1111005,110,1304,台聚,9,3,0席,0.00%,97.78%,100.00%
1111005,110,1305,華夏,9,3,0席,0.00%,97.78%,100.00%
1111005,110,1307,三芳,7,3,0席,0.00%,96.80%,100.00%
1111005,110,1308,亞聚,9,3,0席,0.00%,100.00%,100.00%
1111005,110,1309,台達化,9,5,1席,11.00%,98.15%,81.82%
1111005,110,1310,台苯,11,3,0席,0.00%,100.00%,100.00%
1111005,110,1312,國喬,7,3,1席,14.29%,96.43%,100.00%
1111005,110,1313,聯成,10,3,0席,0.00%,100.00%,100.00%
1111005,110,1314,中石化,9,3,1席,11.11%,94.21%,100.00%
1111005,110,1315,達新,8,3,0席,0.00%,96.83%,100.00%
1111005,110,1319,東陽,7,3,1席,14.29%,100.00%,0.00%
1111005,110,1321,大洋,10,4,2席,20.00%,97.00%,100.00%
1111005,110,1323,永裕,11,4,0席,0.00%,100.00%,100.00%
1111005,110,1324,地球,5,3,0席,0.00%,100.00%,100.00%
1111005,110,1325,恆大,7,3,3席,42.86%,97.96%,14.29%
1111005,110,1326,台化,15,3,1席,6.70%,92.00%,100.00%
1111005,110,1337,再生-KY,7,3,0席,0.00%,96.43%,100.00%
1111005,110,1338,廣華-KY,7,3,0席,0.00%,100.00%,100.00%
1111005,110,1339,昭輝,9,4,2席,2.22%,95.56%,100.00%
1111005,110,1340,勝悅-KY,7,3,1席,14.28%,100.00%,100.00%
1111005,110,1341,富林-KY,7,3,0席,0.00%,100.00%,100.00%
1111005,110,1342,八貫,7,3,0席,0.00%,96.00%,100.00%
1111005,110,1402,遠東新,13,3,2席,15.00%,91.00%,100.00%
1111005,110,1409,新纖,12,3,1席,8.33%,97.62%,100.00%
1111005,110,1410,南染,7,4,0席,0.00%,77.55%,71.42%
1111005,110,1413,宏洲,9,2,2席,22.00%,84.00%,100.00%
1111005,110,1414,東和,7,3,1席,14.00%,100.00%,71.40%
1111005,110,1416,廣豐,8,3,0席,0.00%,96.61%,62.50%
1111005,110,1417,嘉裕,7,3,2席,28.60%,97.62%,100.00%
1111005,110,1418,東華,9,2,0席,0.00%,94.33%,0.00%
1111005,110,1419,新紡,7,3,0席,0.00%,98.55%,100.00%
1111005,110,1423,利華,5,3,5席,100.00%,83.33%,100.00%
1111005,110,1432,大魯閣,9,4,2席,22.22%,72.73%,100.00%
1111005,110,1434,福懋,11,3,1席,9.09%,95.00%,100.00%
1111005,110,1435,中福,7,3,0席,0.00%,95.90%,100.00%
1111005,110,1436,華友聯,9,3,0席,0.00%,96.30%,100.00%
1111005,110,1437,勤益控,7,3,0席,0.00%,100.00%,100.00%
1111005,110,1438,三地開發,7,3,2席,28.57%,0.00%,42.86%
1111005,110,1439,雋揚,7,3,1席,14.00%,100.00%,100.00%
1111005,110,1440,南紡,20,4,5席,25.00%,90.00%,100.00%
1111005,110,1441,大東,7,3,1席,14.29%,100.00%,86.00%
1111005,110,1442,名軒,7,3,2席,28.57%,100.00%,100.00%
1111005,110,1443,立益物流,9,2,0席,0.00%,82.00%,11.00%
1111005,110,1444,力麗,9,3,1席,11.11%,85.47%,100.00%
1111005,110,1445,大宇,7,3,0席,0.00%,98.63%,27.27%
